de;ru
vorher Plätze reservieren;предварительно зарезервировать места
der Verwandte;родственник
freiern;праздновать
der Sekt;шампанское
schießen Raketen in den Himmel;стрелять ракетами в небо
die Wirtschaft;экономика
das Gesetz;закон
gesetzliche Feiertage;официальные выходные дни
erinnern;напоминить/вспоминать
hinweisen;указывать, обращать внимание
beliebt;любимый
das Geschenkt;подарок
fröhlich;радостный, веселый
der Umzug;переезд, шествие
draußen;снаружи
die Angelegenheit;дело, вопрос
die Kerze;свеча
die Einladung;приглашение
verschieben;откладывать, переносить
absagen;отменять
Riesenrad, das, -räder;карусель
die Hochzeit;свадьба
umarmen;обнимать
der Blumenstrauß;букет цветов
zusagen;соглашаться
die Taufe;крестины
berühmt sein;быть известным
beliebt;популярный, излюбленный
die Rente;пенсия
nach draußen;на улице
nach drinnen;внутри
nach drinnen gehen;заходить во внутрь
leise sprechen;громко говорить
ruhig;тихий
benötigen;нуждаться
lauter;громче
drin;внутри, там
ähnlich wie;по аналогии с
ähnlich;похожий
erfolgreich;успешный, удачный
deswegen;поэтому, по этой причине
bieten;предлагать
außerdem;кроме того
gehören;принадлежать, относиться
einen Stadtführung machen;делать экскурсию по городу
wegfahren;уезжать
beliebt;популярный, любимый
berühmt;знаменитый, известный
zufrieden;довольный
die Küste, -n;побережье
das Ufer;берег
der Strand;пляж
die Metzgerei, -en;мясная лавка
öffentlich;общественный
öffentlich / privat;общественный / частный
die Umleitung;объезд
der Liegewagen;платцкартный вагон
der Steg, -e;мостик, причал
der Geisterfahrer;водитель едущий по встречке
erscheinen;появляться
losgehen;отправляться
das Zelt;палатка
langweilen;скучать, надоедать
die Erholung;отдых
der Anlass;повод, причина
Münzen sammeln;собирать монеты
der Zeichentrickfilm;мультфильм
dazugeben;добавлять
passen;быть в пору, быть пригодным
anbraten;слегка обжарить
genug;довольно, достаточно
frei/besetzt;свободный/занятый
lecker;вкусный
köstlich / lecker;вкусный
arm / reich;бедный / богатый
